,p1 launch,p1 travel time [ns],p1 d(n sin(angle)),s1 launch,s1 travel time [ns],s1 d(n sin(angle)),p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],p2 d(n sin(angle)),s2 launch,s2 travel time [ns],s2 d(n sin(angle)),p-s delta launch 2,p-s delta t 2 [ns]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200.0,1.1973215399557606,5817.624542379631,0.0,1.1962639114572937,5823.059601341907,0.0,0.0010576284984669115,-5.435058962276344,1.3807287451109123,5808.135231519939,0.0,1.381612754875099,5813.865054824734,0.0,-0.0008840097641866773,-5.729823304794991
-400.0,0.8877686797336876,6447.834736324948,4.440892098500626e-16,0.8875536679436352,6452.437690214481,2.220446049250313e-16,0.00021501179005234405,-4.602953889533637,1.3464477108294746,6010.88970051799,4.440892098500626e-16,1.3465054515132076,6016.671614411183,2.220446049250313e-16,-5.774068373298746e-05,-5.781913893193632
-600.0,0.8199610472954473,7230.3473016005455,0.0025595474509538807,0.819913087550689,7237.000214923577,0.002709450775087552,4.7959744758241385e-05,-6.652913323031498,1.1819619030692499,6368.181076477361,0.0025595474509538807,1.1819769995222744,6373.675981668882,0.002709450775087552,-1.5096453024554535e-05,-5.494905191520957
-800.0,0.7402617106899975,8070.059519377549,0.001565531553736399,0.7398014355168346,8078.695920986774,0.0011555103274525358,0.0004602751731628274,-8.636401609224777,1.0266396404711544,6903.899099033426,0.001565531553736399,1.026645315432396,6908.980962606012,0.0011555103274525358,-5.674961241597387e-06,-5.0818635725863714
-1000.0,0.6641948698425255,8982.035908191048,0.0019945226342921174,0.6645745221372013,8985.170713861367,0.004050064606523129,-0.00037965229467573636,-3.1348056703191105,0.8939660872153923,7586.521115373419,0.0019945226342921174,0.8939686978190259,7591.152435798962,0.004050064606523129,-2.6106036336015492e-06,-4.631320425542981
-1200.0,0.7840671810241836,8381.606488040541,2.220446049250313e-16,0.7840685394373843,8385.80245261245,0.0,-1.358413200702735e-06,-4.195964571908917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1400.0,0.6938166526546236,9260.658385983685,0.0,0.6938174219843274,9264.458604370118,2.220446049250313e-16,-7.693297038313673e-07,-3.8002183864336985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1600.0,0.6195736372588744,10202.16019378237,4.440892098500626e-16,0.6195741017148575,10205.611424388002,0.0,-4.6445598311795067e-07,-3.451230605631281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1800.0,0.5580825222595391,11190.43518584248,0.0,0.5580828173113213,11193.58281670228,1.1102230246251565e-16,-2.9505178211763905e-07,-3.147630859799392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2000.0,0.506690538296125,12214.17298556014,2.220446049250313e-16,0.5066907337548547,12217.057650860117,6.661338147750939e-16,-1.9545872975701428e-07,-2.8846652999764046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
